from,to
# D1
Harlingen Haven,Harlingen
Harlingen,Franeker
Franeker,Dronryp
Dronryp,Deinum
Deinum,Leeuwarden
Leeuwarden,Leeuwarden Camminghaburen
# E1
Leeuwarden Camminghaburen,Hurdegaryp
Hurdegaryp,Feanwâlden
Feanwâlden,De Westereen
De Westereen,Buitenpost
Buitenpost,Grijpskerk
Grijpskerk,Zuidhorn
Zuidhorn,Groningen
Uithuizen,Usquert
Usquert,Warffum
Warffum,Baflo
Baflo,Winsum
Winsum,Sauwerd
Sauwerd,Groningen Noord
Groningen Noord,Groningen
Bedum,Sauwerd
Groningen,Groningen Europapark
# F1
Eemshaven,Roodeschool
Roodeschool,Uithuizermeeden
Uithuizermeeden,Uithuizen
Delfzijl,Delfzijl West
Delfzijl West,Appingedam
Appingedam,Loppersum
Loppersum,Stedum
Stedum,Bedum
Bad Nieuweschans,Winschoten
Winschoten,Scheemda
Scheemda,Zuidbroek
Veendam,Zuidbroek
Zuidbroek,Sappemeer Oost
Sappemeer Oost,Hoogezand-Sappemeer
Hoogezand-Sappemeer,Martenshoek
Martenshoek,Kropswolde
Kropswolde,Groningen Europapark
Haren,Groningen Europapark
# B-C2
Den Helder,Den Helder Zuid
Den Helder Zuid,Anna Paulowna
Anna Paulowna,Schagen
# D2
Leeuwarden,Mantgum
Mantgum,Sneek Noord
Sneek Noord,Sneek
Sneek,IJlst
IJlst,Workum
Workum,Hindeloopen
Hindeloopen,Koudum-Molkwerum
Koudum-Molkwerum,Stavoren
Leeuwarden,Grou-Jirnsum
Grou-Jirnsum,Akkrum
Akkrum,Heerenveen
# E2
Heerenveen,Wolvega
Wolvega,Steenwijk
# F2
Haren,Assen
Assen,Beilen
Beilen,Hoogeveen
Emmen,Emmen Zuid
Emmen Zuid,Nieuw Amsterdam
Nieuw Amsterdam,Dalen
# E3

# B3
Zandvoort aan Zee,Overveen
Overveen,Haarlem
Alkmaar,Heiloo
Heiloo,Castricum
Beverwijk,Driehuis
Driehuis,Santpoort Noord
Santpoort Noord,Santpoort Zuid
Santpoort Zuid,Bloemendaal
Bloemendaal,Haarlem
Haarlem Spaarnwoude,Haarlem

# C3
Schagen,Heerhugowaard
Alkmaar Noord,Heerhugowaard
Alkmaar,Alkmaar Noord
Castricum,Uitgeest
Heemskerk,Uitgeest
Beverwijk,Heemskerk
Haarlem Spaarnwoude,Halfweg-Zwanenburg
Halfweg-Zwanenburg,Amsterdam Sloterdijk
Uitgeest,Krommenie-Assendelft
Krommenie-Assendelft,Wormerveer
Wormerveer,Zaandijk Zaanse Schans
Zaandijk Zaanse Schans,Koog aan de Zaan
Koog aan de Zaan,Zaandam
Zaandam Kogerveld,Zaandam
Zaandam,Amsterdam Sloterdijk
Heerhugowaard,Obdam
Obdam,Hoorn
Hoorn,Hoorn Kersenboogerd
Hoorn Kersenboogerd,Hoogkarspel
Hoogkarspel,Bovenkarspel-Grootebroek
Bovenkarspel-Grootebroek,Bovenkarspel Flora
Bovenkarspel Flora,Enkhuizen
Hoorn,Purmerend Overwhere
Purmerend Overwhere,Purmerend
Purmerend,Purmerend Weidevenne
Purmerend Weidevenne,Zaandam Kogerveld
Amsterdam Sloterdijk,Amsterdam Centraal
Amsterdam Centraal,Amsterdam Muiderpoort
Amsterdam Muiderpoort,Amsterdam Science Park
Amsterdam Science Park,Diemen
# D3
Weesp,Almere Poort
Naarden-Bussum,Almere Poort
Almere Poort,Almere Muziekwijk
